Branch Name,District,Branch Code
Tulu Dimtu Branch,EASTERN FINFINE DISTRICT,10425
Iman Branch,SHASHEMENE DISTRICT,10426
Selam Branch,BALE DISTRICT,10427
Haile Fida Branch,CENTRAL FINFINE DISTRICT,10428
Ummu-Ayman Branch,CENTRAL FINFINE DISTRICT,10429
Sheik Bekri Sapello,DIRE DAWA DISTRICT,10430
Sinqee Branch,CENTRAL FINFINE DISTRICT,10431
Liban Chukala Branch,ADAMA DISTRICT,10432
Jagema Bedhane Branch,WESTERN FINFINE DISTRICT,10433
TEQWA BRANCH,WESTERN FINFINE DISTRICT,10434
Marwa Branch,SOUTH FINFINE DISTRICT,10435
Salahadin Ali-Ayub,ASELLA DISTRICT,10436
Beriso Dukale Micro,HAWASSA DISTRICT,10437
Yirgalem Branch,HAWASSA DISTRICT,10438
Doyo Gena Branch,HOSSANA DISTRICT,10439
Hadero Branch,HOSSANA DISTRICT,10440
Harru Maru Branch,NORTH FINFINE DISTRICT,10441
Bure Branch,BAHIRDAR AREA BR RELATIONSHIP OFFIC,10442
Shala Branch,EASTERN FINFINE DISTRICT,10443
Melba Branch,EASTERN FINFINE DISTRICT,10444
Bakalca Branch,NORTH FINFINE DISTRICT,10445
Bishoftu Branch,ADAMA DISTRICT,10446
Amana Branch,JIMMA DISTRICT,10447
Qacha Branch,SOUTH FINFINE DISTRICT,10448
Beshale Branch,EASTERN FINFINE DISTRICT,10449
Bori Branch,NORTH FINFINE DISTRICT,10450
Dulo Branch,EASTERN FINFINE DISTRICT,10451
Tiksa Jima Branch,SOUTH FINFINE DISTRICT,10452
Qale Branch,WESTERN FINFINE DISTRICT,10453
Sofomar Branch,BALE DISTRICT,10454
Birmaji Branch,CENTRAL FINFINE DISTRICT,10455
Burka Wayu Branch,SOUTH FINFINE DISTRICT,10456
Horsisa Branch,SOUTH FINFINE DISTRICT,10457
Halchisa Branch,SOUTH FINFINE DISTRICT,10458
Jate Branch,EASTERN FINFINE DISTRICT,10459
Lemo Branch,EASTERN FINFINE DISTRICT,10460
Jibat Branch,WESTERN FINFINE DISTRICT,10461
Dollo Ado Branch,HAWASSA DISTRICT,10462
Haro Wanchi Branch,SOUTH FINFINE DISTRICT,10463
Arefa Branch,DIRE DAWA DISTRICT,10464
Awaro Branch,NORTH FINFINE DISTRICT,10465
Airport Forex Bureau,EASTERN FINFINE DISTRICT,10466
Serbo Branch,JIMMA DISTRICT,10467
Yebu Branch,JIMMA DISTRICT,10468
Fincha'a Branch,NEKEMTE DISTRICT,10469
Melka Debana Branch,JIMMA DISTRICT,10470
Sedecha Branch,JIMMA DISTRICT,10471
Irbu Branch,WESTERN FINFINE DISTRICT,10472
Digital Banking,,10473
Bole Airport Branch,EASTERN FINFINE DISTRICT,10474
Madaro Branch,NORTH FINFINE DISTRICT,10475
Nagele Hasasa Branch,SHASHEMENE DISTRICT,10476
Sanate Branch,BALE DISTRICT,10477
Ganda Qore Branch,DIRE DAWA DISTRICT,10478
Sor Micro Branch,JIMMA DISTRICT,10479
Newland Micro Branch,JIMMA DISTRICT,10480
Damo Dadi Branch,EASTERN FINFINE DISTRICT,10481
Kura Jida Branch,EASTERN FINFINE DISTRICT,10482
Kefira Branch,DIRE DAWA DISTRICT,10483
Imam Ahmed Mesjid Bran,DIRE DAWA DISTRICT,10484
Abdisa Aga Branch,CENTRAL FINFINE DISTRICT,10485
Nur Branch,HAWASSA DISTRICT,10486
Laku Branch,HAWASSA DISTRICT,10487
Madha Galma Branch,HAWASSA DISTRICT,10488
Migira Branch,EASTERN FINFINE DISTRICT,10489
