Branch Name,District,Branch Code
Gimbi Branch,NEKEMTE DISTRICT,10029
Gudetu Arjo Branch,NEKEMTE DISTRICT,10345
Guduru Branch,NEKEMTE DISTRICT,10054
Guliso Branch,NEKEMTE DISTRICT,10039
Hababo Guduru Branch,NEKEMTE DISTRICT,10219
Harato Branch,NEKEMTE DISTRICT,10401
Hawa Gelan Branch,NEKEMTE DISTRICT,10317
Jimma Arjo Branch,NEKEMTE DISTRICT,10186
Jimma Rare Branch,NEKEMTE DISTRICT,10205
Kiltu Karra Branch,NEKEMTE DISTRICT,10211
Kiramu Branch,NEKEMTE DISTRICT,10273
Leka Branch,NEKEMTE DISTRICT,10108
Leka Dulacha Branch,NEKEMTE DISTRICT,10202
Mandi Branch,NEKEMTE DISTRICT,10209
Muka Arara Branch,NEKEMTE DISTRICT,10218
Nedjo Branch,NEKEMTE DISTRICT,10098
Nekemte Branch,NEKEMTE DISTRICT,10007
Nunu Kumba Branch,NEKEMTE DISTRICT,10204
Oda Karra Branch,NEKEMTE DISTRICT,10217
Qebe Branch,NEKEMTE DISTRICT,10382
Qeto Machara Branch,NEKEMTE DISTRICT,10221
Sayo Nole Branch,NEKEMTE DISTRICT,10271
Shambu Branch,NEKEMTE DISTRICT,10120
Sibu Sire Branch,NEKEMTE DISTRICT,10207
Tullu Gana Branch,NEKEMTE DISTRICT,10318
Ukke Branch,NEKEMTE DISTRICT,10200
Abichu Nya'a Branch,NORTH FINFINE DISTRICT,10353
Adami Branch,NORTH FINFINE DISTRICT,10264
Addisu Gebeya Branch,NORTH FINFINE DISTRICT,10095
Akako Branch,NORTH FINFINE DISTRICT,10686
Aleltu Branch,NORTH FINFINE DISTRICT,10255
Awaro Branch,NORTH FINFINE DISTRICT,10465
Bakalca Branch,NORTH FINFINE DISTRICT,10445
Bake Branch,NORTH FINFINE DISTRICT,10143
Bilile Branch,NORTH FINFINE DISTRICT,10386
Bori Branch,NORTH FINFINE DISTRICT,10450
CMC Branch,NORTH FINFINE DISTRICT,10151
Chafe Arara Branch,NORTH FINFINE DISTRICT,10331
Chancho Branch,NORTH FINFINE DISTRICT,10053
Dale Dembel Branch,NORTH FINFINE DISTRICT,10175
Debre Birhan Branch,NORTH FINFINE DISTRICT,
Derra Branch,NORTH FINFINE DISTRICT,10157
Didimtu Branch,NORTH FINFINE DISTRICT,10576
Duber Branch,NORTH FINFINE DISTRICT,10651
Ferensay Legasiyon Br,NORTH FINFINE DISTRICT,10137
Fiche Branch,NORTH FINFINE DISTRICT,10080
Fitala Branch,NORTH FINFINE DISTRICT,10598
Folle Branch,NORTH FINFINE DISTRICT,10575
Garba Guracha Branch,NORTH FINFINE DISTRICT,10605
Gulele Branch,NORTH FINFINE DISTRICT,10019
Harru Maru Branch,NORTH FINFINE DISTRICT,10441
Hidhabu Abote Branch,NORTH FINFINE DISTRICT,10590
Hurufa Farado Branch,NORTH FINFINE DISTRICT,10555
Karra Allo Branch,NORTH FINFINE DISTRICT,10293
Karra Xuxxo Branch,NORTH FINFINE DISTRICT,10272
Kotobe Branch,NORTH FINFINE DISTRICT,10081
Kuyyu Branch,NORTH FINFINE DISTRICT,10031
Laga Bari Branch,NORTH FINFINE DISTRICT,10391
Lamberet Branch,NORTH FINFINE DISTRICT,10169
Lega Billawo Branch,NORTH FINFINE DISTRICT,10581
Lega Jidha Branch,NORTH FINFINE DISTRICT,10685
